N, nbOpSEL, u_nbOPSEL, tExecSEL (ms), u_tExecSEL (ms), nbOpBUL, u_nbOPBUL, tExecBUL (ms), u_tExecBUL (ms), nbOpINS, u_nbOPINS, tExecINS (ms), u_tExecINS (ms)
10, 588, 2, 0.001, 0.003, 966, 196, 0.002, 0.005, 423, 80, 0.001, 0.002
11, 709, 3, 0.001, 0.001, 1171, 226, 0.001, 0.001, 498, 93, 0.001, 0.000
12, 841, 3, 0.001, 0.003, 1425, 261, 0.002, 0.005, 594, 104, 0.001, 0.000
13, 984, 3, 0.001, 0.002, 1691, 298, 0.002, 0.009, 690, 116, 0.001, 0.000
14, 1138, 4, 0.001, 0.000, 1964, 335, 0.002, 0.005, 783, 127, 0.000, 0.001
15, 1304, 4, 0.001, 0.001, 2299, 378, 0.004, 0.079, 898, 145, 0.001, 0.000
16, 1480, 4, 0.001, 0.000, 2570, 425, 0.001, 0.000, 992, 159, 0.000, 0.000
17, 1667, 4, 0.001, 0.000, 2985, 465, 0.001, 0.000, 1134, 172, 0.001, 0.001
18, 1866, 4, 0.001, 0.000, 3392, 499, 0.002, 0.001, 1276, 189, 0.001, 0.000
19, 2075, 5, 0.001, 0.001, 3813, 541, 0.002, 0.002, 1403, 199, 0.001, 0.002
20, 2296, 5, 0.001, 0.000, 4202, 611, 0.002, 0.003, 1542, 221, 0.001, 0.000
21, 2527, 5, 0.001, 0.001, 4697, 632, 0.002, 0.001, 1693, 232, 0.001, 0.000
22, 2770, 5, 0.001, 0.000, 5152, 692, 0.002, 0.000, 1845, 249, 0.001, 0.000
23, 3024, 6, 0.001, 0.000, 5683, 734, 0.002, 0.000, 2023, 262, 0.001, 0.000
24, 3288, 6, 0.001, 0.000, 6201, 820, 0.002, 0.003, 2188, 286, 0.001, 0.000
25, 3564, 6, 0.001, 0.000, 6736, 844, 0.002, 0.003, 2369, 299, 0.001, 0.000
26, 3851, 6, 0.001, 0.001, 7304, 910, 0.002, 0.002, 2540, 329, 0.001, 0.000
27, 4149, 7, 0.001, 0.000, 7931, 1000, 0.002, 0.000, 2743, 343, 0.001, 0.000
28, 4458, 7, 0.002, 0.001, 8569, 1016, 0.003, 0.008, 2941, 373, 0.001, 0.003
29, 4777, 7, 0.001, 0.000, 9247, 1115, 0.003, 0.001, 3169, 388, 0.001, 0.000
30, 5108, 7, 0.002, 0.002, 9885, 1135, 0.004, 0.001, 3343, 383, 0.001, 0.000
31, 5450, 7, 0.003, 0.000, 10621, 1202, 0.005, 0.001, 3579, 423, 0.002, 0.000
32, 5803, 8, 0.003, 0.001, 11311, 1303, 0.005, 0.001, 3791, 456, 0.002, 0.001
33, 6167, 8, 0.003, 0.001, 12128, 1295, 0.006, 0.004, 4033, 431, 0.002, 0.002
34, 6542, 8, 0.004, 0.005, 12797, 1384, 0.007, 0.003, 4270, 468, 0.002, 0.001
35, 6929, 9, 0.003, 0.003, 13761, 1457, 0.005, 0.006, 4548, 485, 0.002, 0.005
36, 7326, 9, 0.003, 0.001, 14533, 1523, 0.007, 0.012, 4784, 508, 0.002, 0.001
37, 7734, 9, 0.003, 0.001, 15441, 1613, 0.007, 0.003, 5056, 541, 0.002, 0.001
38, 8153, 9, 0.003, 0.001, 16253, 1624, 0.006, 0.003, 5318, 560, 0.002, 0.001
39, 8583, 9, 0.004, 0.005, 17078, 1720, 0.007, 0.005, 5563, 590, 0.002, 0.002
40, 9024, 10, 0.005, 0.005, 18130, 1782, 0.010, 0.009, 5846, 627, 0.003, 0.000
41, 9477, 10, 0.006, 0.006, 19000, 1882, 0.013, 0.056, 6139, 647, 0.003, 0.001
42, 9940, 10, 0.005, 0.003, 19945, 1991, 0.010, 0.009, 6445, 654, 0.003, 0.008
43, 10413, 11, 0.005, 0.005, 21001, 2022, 0.011, 0.002, 6732, 670, 0.003, 0.004
44, 10900, 11, 0.005, 0.005, 22029, 2149, 0.010, 0.006, 7054, 738, 0.003, 0.005
45, 11396, 11, 0.004, 0.004, 23185, 2110, 0.008, 0.007, 7344, 719, 0.002, 0.001
46, 11903, 11, 0.002, 0.000, 24235, 2193, 0.006, 0.016, 7720, 749, 0.002, 0.003
47, 12421, 11, 0.005, 0.004, 25264, 2328, 0.009, 0.004, 8024, 748, 0.003, 0.006
48, 12950, 11, 0.007, 0.027, 26545, 2338, 0.013, 0.004, 8363, 801, 0.005, 0.027
49, 13491, 12, 0.007, 0.011, 27592, 2528, 0.015, 0.035, 8692, 831, 0.004, 0.001
50, 14042, 12, 0.007, 0.017, 28728, 2616, 0.015, 0.026, 9035, 876, 0.004, 0.004
51, 14604, 12, 0.007, 0.031, 29918, 2698, 0.014, 0.007, 9393, 894, 0.005, 0.027
52, 15178, 12, 0.007, 0.001, 31127, 2665, 0.016, 0.030, 9794, 906, 0.004, 0.002
53, 15763, 13, 0.010, 0.035, 32499, 2843, 0.018, 0.023, 10171, 897, 0.005, 0.004
54, 16358, 13, 0.011, 0.058, 33849, 2922, 0.017, 0.007, 10554, 967, 0.005, 0.001
55, 16964, 13, 0.009, 0.002, 35115, 2972, 0.024, 0.079, 10899, 1013, 0.006, 0.023
56, 17582, 13, 0.006, 0.006, 36472, 3064, 0.015, 0.026, 11309, 1012, 0.004, 0.002
57, 18211, 14, 0.012, 0.074, 37736, 3157, 0.020, 0.010, 11711, 1043, 0.006, 0.006
58, 18850, 14, 0.012, 0.053, 39209, 3145, 0.023, 0.028, 12153, 1018, 0.006, 0.001
59, 19500, 14, 0.011, 0.041, 40595, 3460, 0.020, 0.007, 12509, 1108, 0.006, 0.006
60, 20162, 15, 0.009, 0.004, 42211, 3356, 0.019, 0.005, 12936, 1093, 0.005, 0.002
61, 20835, 15, 0.008, 0.001, 43402, 3521, 0.018, 0.006, 13339, 1160, 0.005, 0.001
62, 21519, 14, 0.008, 0.001, 44784, 3453, 0.018, 0.005, 13866, 1166, 0.005, 0.001
63, 22213, 15, 0.008, 0.016, 46454, 3604, 0.019, 0.023, 14276, 1225, 0.005, 0.003
64, 22919, 16, 0.007, 0.023, 48158, 3648, 0.015, 0.016, 14783, 1258, 0.004, 0.005
65, 23635, 16, 0.004, 0.001, 49599, 3888, 0.010, 0.002, 15131, 1279, 0.003, 0.000
66, 24363, 16, 0.005, 0.005, 51061, 3966, 0.010, 0.002, 15577, 1298, 0.003, 0.003
67, 25102, 15, 0.005, 0.001, 52629, 4016, 0.011, 0.012, 16074, 1296, 0.003, 0.001
68, 25851, 16, 0.005, 0.001, 54560, 4036, 0.012, 0.038, 16532, 1289, 0.003, 0.001
69, 26613, 16, 0.007, 0.019, 56202, 4345, 0.014, 0.019, 17079, 1355, 0.006, 0.025
70, 27384, 16, 0.008, 0.013, 57655, 4238, 0.016, 0.018, 17492, 1391, 0.005, 0.012
