N, nbOpSEL, u_nbOPSEL, tExecSEL (ms), u_tExecSEL (ms), nbOpBUL, u_nbOPBUL, tExecBUL (ms), u_tExecBUL (ms), nbOpINS, u_nbOPINS, tExecINS (ms), u_tExecINS (ms)
1000, 5508641, 166, 0.594, 0.243, 12977779, 254065, 2.205, 0.400, 3450699, 77349, 0.750, 0.188
2000, 22018430, 249, 2.746, 0.842, 52524319, 797656, 12.257, 3.568, 13858930, 239485, 3.637, 1.174
3000, 49528502, 442, 5.302, 1.346, 118663217, 1410581, 22.928, 4.971, 31182623, 330695, 6.824, 1.826
4000, 88038810, 411, 10.054, 2.598, 211788447, 2166005, 42.691, 9.814, 55291531, 658907, 12.887, 3.367
5000, 137549149, 566, 14.638, 2.871, 331798000, 2813359, 63.427, 9.804, 86346989, 850910, 18.880, 4.540
6000, 198059692, 642, 21.802, 4.084, 477748565, 4479451, 93.106, 13.024, 124545795, 1102820, 27.299, 5.204
7000, 269570344, 772, 28.840, 4.597, 651957288, 4165319, 127.152, 14.165, 169204082, 1334111, 35.905, 5.901
8000, 352081198, 811, 37.586, 6.606, 851346209, 6533257, 163.312, 21.009, 221392446, 1609774, 46.246, 5.972
9000, 445591852, 882, 53.406, 8.272, 1078952542, 6907621, 231.286, 21.267, 280053162, 1695665, 65.557, 8.014
10000, 550102889, 1005, 63.830, 7.008, 1332394980, 7988231, 293.529, 24.446, 346055473, 2156270, 80.442, 11.772
