N, nbOpSEL, tExecSEL (ms), nbOpBUL, tExecBUL (ms), nbOpINS, tExecINS (ms)
10,429,0.001,531,0.002,355,0.001
11,525,0.001,657,0.001,432,0.001
12,625,0.002,782,0.001,508,0.001
13,732,0.002,919,0.001,589,0.001
14,854,0.001,1084,0.001,684,0.001
15,989,0.001,1258,0.001,790,0.001
16,1119,0.001,1421,0.001,886,0.001
17,1257,0.001,1603,0.002,986,0.001
18,1426,0.001,1836,0.002,1121,0.001
19,1593,0.001,2060,0.002,1248,0.001
20,1758,0.001,2285,0.001,1367,0.001
21,1941,0.001,2521,0.002,1506,0.001
22,2132,0.001,2771,0.002,1649,0.001
23,2327,0.002,3037,0.002,1792,0.001
24,2540,0.002,3316,0.002,1953,0.001
25,2763,0.002,3637,0.002,2122,0.001
26,2985,0.002,3943,0.002,2284,0.001
27,3220,0.002,4232,0.002,2459,0.001
28,3450,0.002,4557,0.002,2622,0.001
29,3713,0.002,4901,0.002,2822,0.001
30,3975,0.002,5284,0.002,3016,0.001
31,4245,0.002,5662,0.003,3215,0.001
32,4541,0.003,6055,0.003,3442,0.001
33,4828,0.002,6448,0.003,3653,0.001
34,5094,0.003,6796,0.003,3831,0.001
35,5451,0.003,7292,0.003,4123,0.001
36,5730,0.003,7673,0.003,4307,0.001
37,6055,0.003,8116,0.004,4546,0.001
38,6395,0.003,8598,0.004,4801,0.001
39,6746,0.003,9057,0.004,5062,0.001
40,7100,0.003,9555,0.004,5325,0.002
41,7464,0.004,10051,0.004,5594,0.002
42,7832,0.004,10567,0.005,5863,0.002
43,8199,0.004,11055,0.005,6125,0.002
44,8580,0.007,11637,0.009,6402,0.003
45,8974,0.004,12137,0.005,6688,0.002
46,9373,0.005,12675,0.006,6977,0.002
47,9818,0.005,13279,0.007,7322,0.002
48,10210,0.005,13853,0.006,7590,0.002
49,10653,0.006,14460,0.007,7921,0.002
50,11097,0.006,15089,0.007,8247,0.003
51,11558,0.006,15737,0.007,8590,0.003
52,12027,0.006,16414,0.008,8938,0.003
53,12447,0.006,16963,0.008,9219,0.003
54,12962,0.007,17677,0.008,9617,0.003
55,13462,0.007,18425,0.009,9990,0.003
56,13977,0.008,19129,0.01,10377,0.003
57,14472,0.007,19847,0.008,10734,0.003
58,14950,0.007,20480,0.008,11063,0.003
59,15476,0.007,21207,0.009,11449,0.003
60,16016,0.007,22043,0.009,11848,0.003
61,16566,0.008,22774,0.009,12256,0.003
62,17067,0.008,23419,0.011,12594,0.004
63,17656,0.008,24223,0.01,13041,0.004
64,18222,0.008,25056,0.01,13453,0.004
65,18750,0.008,25833,0.011,13810,0.004
