N, nbOp, tExec (ms)
10, 531, 0.002
11, 657, 0.001
12, 782, 0.001
13, 919, 0.001
14, 1084, 0.001
15, 1258, 0.001
16, 1421, 0.001
17, 1603, 0.002
18, 1836, 0.002
19, 2060, 0.002
20, 2285, 0.001
21, 2521, 0.002
22, 2771, 0.002
23, 3037, 0.002
24, 3316, 0.002
25, 3637, 0.002
26, 3943, 0.002
27, 4232, 0.002
28, 4557, 0.002
29, 4901, 0.002
30, 5284, 0.002
31, 5662, 0.003
32, 6055, 0.003
33, 6448, 0.003
34, 6796, 0.003
35, 7292, 0.003
36, 7673, 0.003
37, 8116, 0.004
38, 8598, 0.004
39, 9057, 0.004
40, 9555, 0.004
41, 10051, 0.004
42, 10567, 0.005
43, 11055, 0.005
44, 11637, 0.009
45, 12137, 0.005
46, 12675, 0.006
47, 13279, 0.007
48, 13853, 0.006
49, 14460, 0.007
50, 15089, 0.007
51, 15737, 0.007
52, 16414, 0.008
53, 16963, 0.008
54, 17677, 0.008
55, 18425, 0.009
56, 19129, 0.010
57, 19847, 0.008
58, 20480, 0.008
59, 21207, 0.009
60, 22043, 0.009
61, 22774, 0.009
62, 23419, 0.011
63, 24223, 0.010
64, 25056, 0.010
65, 25833, 0.011
66, 26650, 0.011
67, 27495, 0.013
68, 28364, 0.013
69, 29241, 0.011
70, 30056, 0.012
71, 30972, 0.012
72, 31819, 0.013
73, 32672, 0.012
74, 33739, 0.014
75, 34682, 0.024
76, 35613, 0.025
77, 36696, 0.028
78, 37573, 0.017
79, 38531, 0.014
80, 39521, 0.015
81, 40517, 0.014
82, 41405, 0.014
83, 42589, 0.015
84, 43763, 0.015
85, 44862, 0.017
86, 45936, 0.020
87, 46975, 0.028
88, 48131, 0.027
89, 49235, 0.030
90, 50337, 0.018
91, 51308, 0.017
92, 52532, 0.021
93, 53770, 0.025
94, 54910, 0.022
95, 56192, 0.020
96, 57252, 0.021
97, 58717, 0.020
98, 59964, 0.020
99, 61087, 0.021
100, 62529, 0.027
101, 63587, 0.035
102, 64914, 0.027
103, 66067, 0.025
104, 67328, 0.025
105, 69124, 0.023
106, 70219, 0.023
107, 71487, 0.024
108, 73087, 0.029
109, 74346, 0.024
110, 75633, 0.024
111, 76973, 0.025
112, 78437, 0.026
113, 79955, 0.026
114, 81454, 0.038
115, 82923, 0.033
116, 84266, 0.029
