N, nbOp, u_nbOP, tExec (ms), u_tExec (ms)
10, 530, 110, 0.001, 0.001
11, 652, 126, 0.001, 0.001
12, 786, 143, 0.001, 0.004
13, 913, 163, 0.003, 0.021
14, 1081, 183, 0.005, 0.029
15, 1245, 198, 0.002, 0.002
16, 1434, 217, 0.001, 0.001
17, 1613, 250, 0.001, 0.001
18, 1817, 261, 0.002, 0.001
19, 2040, 280, 0.002, 0.003
20, 2268, 300, 0.002, 0.002
21, 2521, 329, 0.002, 0.000
22, 2762, 349, 0.002, 0.000
23, 3038, 380, 0.002, 0.001
24, 3324, 406, 0.002, 0.004
25, 3621, 414, 0.002, 0.003
26, 3915, 451, 0.002, 0.000
27, 4246, 462, 0.002, 0.001
28, 4579, 494, 0.003, 0.000
29, 4948, 529, 0.002, 0.001
30, 5285, 560, 0.003, 0.002
31, 5634, 584, 0.003, 0.001
32, 6008, 618, 0.004, 0.005
33, 6447, 651, 0.004, 0.005
34, 6821, 696, 0.003, 0.001
35, 7242, 720, 0.004, 0.001
36, 7660, 736, 0.004, 0.003
37, 8177, 753, 0.004, 0.002
38, 8610, 788, 0.004, 0.001
39, 9093, 863, 0.005, 0.001
40, 9502, 872, 0.006, 0.006
41, 10013, 898, 0.006, 0.002
42, 10535, 922, 0.005, 0.001
43, 11115, 949, 0.005, 0.002
44, 11644, 1012, 0.005, 0.001
45, 12183, 1037, 0.008, 0.003
46, 12749, 1081, 0.007, 0.002
47, 13357, 1151, 0.006, 0.006
48, 13910, 1153, 0.007, 0.004
49, 14491, 1226, 0.007, 0.005
50, 15111, 1184, 0.007, 0.003
51, 15816, 1196, 0.007, 0.004
52, 16368, 1297, 0.008, 0.002
53, 16958, 1281, 0.007, 0.003
54, 17682, 1342, 0.008, 0.001
55, 18379, 1347, 0.008, 0.002
56, 19000, 1438, 0.010, 0.003
57, 19850, 1436, 0.012, 0.005
58, 20436, 1552, 0.015, 0.006
59, 21157, 1620, 0.011, 0.004
60, 22042, 1586, 0.019, 0.005
61, 22772, 1643, 0.012, 0.003
62, 23523, 1618, 0.011, 0.003
63, 24270, 1743, 0.011, 0.003
64, 25068, 1731, 0.022, 0.181
65, 25747, 1804, 0.017, 0.123
66, 26689, 1821, 0.011, 0.002
67, 27579, 1887, 0.011, 0.002
68, 28387, 1923, 0.013, 0.004
69, 29168, 1932, 0.014, 0.006
70, 29896, 1919, 0.016, 0.007
71, 30953, 1953, 0.016, 0.004
72, 31880, 2097, 0.014, 0.008
73, 32664, 2173, 0.015, 0.004
74, 33671, 2161, 0.018, 0.017
75, 34621, 2130, 0.018, 0.005
76, 35610, 2273, 0.017, 0.005
77, 36503, 2317, 0.015, 0.002
78, 37485, 2322, 0.015, 0.003
79, 38544, 2376, 0.018, 0.021
80, 39710, 2384, 0.023, 0.005
81, 40592, 2460, 0.017, 0.011
82, 41624, 2521, 0.032, 0.025
83, 42692, 2528, 0.035, 0.016
84, 43755, 2661, 0.034, 0.019
85, 44835, 2544, 0.033, 0.021
86, 45744, 2708, 0.031, 0.015
87, 46735, 2841, 0.018, 0.002
88, 48061, 2788, 0.018, 0.011
89, 49188, 2932, 0.027, 0.019
90, 50473, 2858, 0.035, 0.014
91, 51293, 3048, 0.030, 0.009
92, 52615, 2991, 0.023, 0.019
93, 53731, 3006, 0.021, 0.019
94, 55008, 2975, 0.020, 0.007
95, 56251, 3199, 0.033, 0.019
96, 57140, 3123, 0.030, 0.016
97, 58329, 3397, 0.024, 0.013
98, 59763, 3191, 0.038, 0.018
99, 61135, 3257, 0.044, 0.010
100, 62237, 3467, 0.028, 0.010
101, 63594, 3442, 0.048, 0.014
102, 64855, 3525, 0.032, 0.022
103, 66295, 3388, 0.046, 0.017
104, 67567, 3611, 0.036, 0.024
105, 68877, 3580, 0.030, 0.009
106, 69960, 3841, 0.026, 0.011
107, 71657, 3630, 0.040, 0.015
108, 73061, 3754, 0.037, 0.014
109, 74392, 3742, 0.048, 0.015
110, 75488, 3867, 0.056, 0.027
111, 77021, 3953, 0.037, 0.033
112, 78478, 3987, 0.032, 0.012
113, 80141, 3879, 0.030, 0.006
114, 81425, 4076, 0.057, 0.027
115, 82953, 4308, 0.032, 0.024
116, 84255, 4265, 0.033, 0.011
117, 85778, 4099, 0.037, 0.017
118, 87588, 4201, 0.039, 0.011
119, 88681, 4420, 0.038, 0.010
120, 90211, 4416, 0.037, 0.006
121, 91829, 4604, 0.037, 0.007
122, 93286, 4604, 0.036, 0.004
123, 95000, 4745, 0.035, 0.009
124, 96560, 4505, 0.043, 0.031
125, 98011, 4778, 0.038, 0.015
126, 99796, 4671, 0.035, 0.008
127, 101245, 4961, 0.063, 0.016
128, 103083, 4700, 0.072, 0.026
129, 104470, 5172, 0.067, 0.009
130, 106170, 5252, 0.058, 0.032
131, 107830, 5066, 0.051, 0.024
132, 109714, 5186, 0.063, 0.023
133, 111309, 5183, 0.070, 0.016
134, 113028, 5266, 0.042, 0.021
135, 114973, 5383, 0.045, 0.021
136, 116400, 5380, 0.046, 0.012
137, 117843, 5459, 0.038, 0.008
138, 120186, 5503, 0.054, 0.024
139, 121593, 5364, 0.080, 0.025
140, 123797, 5605, 0.049, 0.021
141, 125262, 5625, 0.061, 0.021
142, 127185, 5640, 0.067, 0.093
143, 129065, 5855, 0.072, 0.037
144, 130770, 5882, 0.080, 0.021
145, 132612, 6000, 0.047, 0.015
146, 134627, 5853, 0.058, 0.025
147, 136336, 6088, 0.055, 0.025
148, 138319, 6172, 0.067, 0.024
149, 140394, 5921, 0.065, 0.026
150, 142056, 6184, 0.057, 0.021
151, 144120, 6149, 0.054, 0.026
152, 146169, 6160, 0.054, 0.021
153, 147848, 6417, 0.092, 0.028
154, 149915, 6405, 0.077, 0.033
155, 151902, 6561, 0.054, 0.023
156, 154446, 6495, 0.066, 0.023
157, 156099, 6595, 0.066, 0.028
158, 158143, 6367, 0.076, 0.033
159, 160034, 6467, 0.062, 0.022
160, 161738, 6593, 0.070, 0.029
161, 164290, 6845, 0.073, 0.025
162, 165548, 6986, 0.054, 0.063
163, 168496, 7074, 0.061, 0.025
164, 170518, 6998, 0.066, 0.020
165, 172600, 7023, 0.095, 0.036
166, 174650, 6810, 0.080, 0.033
167, 176493, 7179, 0.058, 0.026
168, 179112, 7427, 0.075, 0.026
169, 181055, 7438, 0.059, 0.020
170, 183791, 7365, 0.069, 0.022
171, 185285, 7493, 0.057, 0.005
172, 187396, 7716, 0.068, 0.032
173, 189709, 7462, 0.071, 0.032
174, 191961, 7594, 0.101, 0.034
175, 194133, 7232, 0.099, 0.038
176, 196603, 7610, 0.069, 0.027
177, 198795, 7943, 0.072, 0.021
178, 201501, 7827, 0.074, 0.028
179, 203359, 8036, 0.085, 0.031
180, 205576, 8349, 0.106, 0.035
181, 208072, 8317, 0.086, 0.032
182, 209982, 8409, 0.093, 0.039
183, 213447, 8014, 0.071, 0.025
184, 215285, 8463, 0.080, 0.032
185, 217377, 8423, 0.071, 0.070
186, 220026, 8460, 0.064, 0.006
187, 222172, 8581, 0.077, 0.032
188, 224769, 8660, 0.103, 0.039
189, 227290, 9068, 0.108, 0.039
190, 230035, 8806, 0.096, 0.037
191, 231870, 9053, 0.109, 0.044
192, 234251, 8525, 0.109, 0.040
193, 236982, 8914, 0.102, 0.033
194, 239244, 9124, 0.112, 0.042
195, 241896, 8916, 0.093, 0.042
196, 244459, 9016, 0.081, 0.024
197, 247425, 8383, 0.121, 0.036
198, 249547, 9419, 0.135, 0.041
199, 252165, 9122, 0.098, 0.037
200, 255453, 9095, 0.088, 0.033
201, 257168, 9806, 0.120, 0.051
202, 260015, 9411, 0.101, 0.043
203, 262893, 9450, 0.132, 0.042
204, 264949, 9565, 0.121, 0.044
205, 267316, 10027, 0.131, 0.047
206, 270412, 9871, 0.125, 0.041
207, 273134, 10221, 0.100, 0.031
208, 276138, 10047, 0.088, 0.027
209, 278557, 10061, 0.128, 0.045
210, 281597, 10126, 0.093, 0.033
211, 283729, 10079, 0.089, 0.027
212, 286755, 10441, 0.131, 0.052
213, 288866, 10726, 0.101, 0.040
214, 291925, 10430, 0.119, 0.049
215, 295180, 10736, 0.113, 0.043
216, 297463, 10755, 0.102, 0.045
217, 299931, 10657, 0.097, 0.026
218, 303640, 11012, 0.152, 0.047
219, 306133, 10373, 0.148, 0.049
220, 308655, 11020, 0.134, 0.051
221, 311888, 11223, 0.164, 0.052
222, 314482, 11526, 0.127, 0.049
223, 317285, 11304, 0.103, 0.037
224, 320439, 11291, 0.107, 0.034
225, 323991, 11589, 0.138, 0.052
226, 326740, 11427, 0.125, 0.048
227, 328854, 11185, 0.101, 0.027
228, 332851, 11407, 0.123, 0.047
229, 335548, 11825, 0.159, 0.055
230, 338265, 11784, 0.120, 0.045
231, 340949, 11645, 0.132, 0.050
232, 344526, 11764, 0.139, 0.052
233, 347503, 11795, 0.105, 0.028
234, 349847, 11642, 0.116, 0.029
235, 352984, 12390, 0.132, 0.050
236, 355474, 12479, 0.134, 0.049
237, 359451, 12223, 0.110, 0.031
238, 362192, 12646, 0.162, 0.057
239, 365619, 12640, 0.140, 0.052
240, 368844, 12093, 0.147, 0.086
241, 371449, 12717, 0.139, 0.053
242, 374784, 12721, 0.123, 0.050
243, 378218, 12454, 0.194, 0.056
244, 380913, 12870, 0.186, 0.063
245, 384618, 12797, 0.127, 0.050
246, 386543, 12958, 0.173, 0.060
247, 389432, 13207, 0.160, 0.058
248, 394069, 13324, 0.181, 0.057
249, 397397, 12905, 0.134, 0.049
250, 399512, 13542, 0.133, 0.037
251, 403658, 13593, 0.186, 0.059
252, 406553, 14018, 0.157, 0.052
253, 410930, 13159, 0.127, 0.032
254, 413917, 13006, 0.149, 0.061
255, 417035, 13719, 0.190, 0.065
256, 419907, 13413, 0.164, 0.060
257, 423889, 13563, 0.170, 0.062
258, 426107, 13739, 0.225, 0.065
259, 429976, 13607, 0.170, 0.071
260, 433350, 13962, 0.188, 0.063
261, 436781, 13665, 0.178, 0.069
262, 439955, 14424, 0.211, 0.059
263, 443187, 14572, 0.168, 0.062
264, 447528, 14551, 0.136, 0.037
265, 450546, 14094, 0.163, 0.060
266, 454280, 14512, 0.168, 0.070
267, 457511, 14686, 0.200, 0.084
268, 460365, 14599, 0.204, 0.065
269, 464044, 14862, 0.211, 0.071
270, 468090, 14848, 0.207, 0.073
271, 471817, 14990, 0.198, 0.074
272, 474281, 15351, 0.185, 0.065
273, 478172, 14641, 0.216, 0.073
274, 482230, 14869, 0.221, 0.077
275, 484933, 15233, 0.176, 0.052
276, 488842, 14843, 0.200, 0.073
277, 492995, 15524, 0.201, 0.074
278, 495690, 15330, 0.205, 0.084
279, 499316, 15538, 0.182, 0.070
280, 502882, 16044, 0.241, 0.075
281, 506838, 15326, 0.191, 0.072
282, 511140, 15297, 0.203, 0.079
283, 514626, 15472, 0.195, 0.075
284, 518147, 16428, 0.184, 0.065
285, 522784, 15745, 0.231, 0.082
286, 525368, 16487, 0.166, 0.054
287, 529403, 16798, 0.200, 0.075
288, 533045, 16285, 0.178, 0.058
289, 536545, 16558, 0.161, 0.040
290, 540081, 16211, 0.193, 0.067
291, 544019, 16726, 0.193, 0.072
292, 548190, 15977, 0.225, 0.077
293, 550976, 16864, 0.194, 0.071
294, 555671, 16988, 0.201, 0.083
295, 558770, 17621, 0.165, 0.037
296, 563419, 16293, 0.215, 0.079
297, 567480, 17018, 0.198, 0.077
298, 570977, 17714, 0.227, 0.084
299, 574150, 17422, 0.211, 0.077
300, 578357, 17450, 0.199, 0.069
301, 583594, 16976, 0.192, 0.076
302, 586597, 16931, 0.228, 0.090
303, 590292, 17503, 0.179, 0.058
304, 594095, 17486, 0.243, 0.092
305, 597031, 18345, 0.242, 0.083
306, 602630, 16833, 0.210, 0.083
307, 606368, 17397, 0.213, 0.078
308, 610345, 17564, 0.230, 0.078
309, 614469, 17521, 0.251, 0.088
310, 618160, 18215, 0.202, 0.071
311, 622426, 16978, 0.232, 0.084
312, 627093, 18573, 0.228, 0.087
313, 629804, 18531, 0.278, 0.097
314, 634358, 18430, 0.248, 0.085
315, 639146, 18916, 0.290, 0.089
316, 642258, 18648, 0.291, 0.092
317, 648547, 18818, 0.273, 0.093
318, 651435, 19911, 0.220, 0.075
319, 655489, 19134, 0.224, 0.079
320, 659727, 19620, 0.237, 0.087
321, 663495, 19074, 0.255, 0.087
322, 668743, 18303, 0.250, 0.082
323, 671820, 19779, 0.246, 0.094
324, 674633, 20013, 0.284, 0.091
325, 680427, 19827, 0.242, 0.083
326, 682671, 20309, 0.211, 0.075
327, 688705, 19846, 0.239, 0.083
328, 692931, 20323, 0.266, 0.088
329, 697614, 20581, 0.300, 0.099
330, 701812, 20037, 0.279, 0.098
331, 705506, 20577, 0.288, 0.099
332, 709348, 20118, 0.345, 0.092
333, 714807, 19933, 0.297, 0.098
334, 720236, 19917, 0.231, 0.071
335, 723356, 20258, 0.297, 0.113
336, 727878, 20437, 0.246, 0.063
337, 732430, 20220, 0.254, 0.157
338, 735674, 21260, 0.342, 0.116
339, 741178, 20022, 0.328, 0.134
340, 745026, 20906, 0.320, 0.120
341, 750196, 21295, 0.271, 0.093
342, 754173, 20765, 0.358, 0.161
343, 758975, 20633, 0.249, 0.043
344, 762248, 21766, 0.258, 0.075
345, 767789, 20984, 0.303, 0.109
346, 772496, 22691, 0.263, 0.093
347, 777316, 21949, 0.265, 0.091
348, 780442, 21942, 0.311, 0.108
349, 785349, 22179, 0.236, 0.070
350, 789855, 22185, 0.301, 0.105
351, 795999, 21382, 0.249, 0.075
352, 799514, 22199, 0.258, 0.091
353, 804312, 22353, 0.270, 0.094
354, 808176, 21980, 0.319, 0.111
355, 812207, 22480, 0.292, 0.101
356, 818095, 22837, 0.218, 0.028
357, 821965, 22565, 0.255, 0.071
358, 826477, 22848, 0.285, 0.089
359, 829992, 23049, 0.356, 0.107
360, 837758, 21289, 0.301, 0.100
361, 840227, 22795, 0.257, 0.078
362, 847436, 22778, 0.247, 0.058
363, 850335, 23291, 0.253, 0.066
364, 856426, 24174, 0.235, 0.045
365, 859673, 23181, 0.258, 0.081
366, 865667, 23455, 0.344, 0.108
367, 870849, 22874, 0.287, 0.090
368, 874165, 24065, 0.276, 0.089
369, 878532, 23239, 0.288, 0.089
370, 883457, 24021, 0.262, 0.036
371, 887729, 24517, 0.252, 0.041
372, 895061, 24147, 0.259, 0.033
373, 900440, 23753, 0.303, 0.090
374, 903511, 22895, 0.278, 0.062
375, 908831, 23098, 0.262, 0.036
376, 912784, 24818, 0.263, 0.038
377, 918446, 24089, 0.280, 0.049
378, 924064, 24419, 0.267, 0.033
379, 928089, 25077, 0.263, 0.032
380, 934019, 24214, 0.283, 0.063
381, 939403, 23785, 0.370, 0.133
382, 942395, 25994, 0.351, 0.118
383, 948335, 24791, 0.304, 0.123
384, 952027, 24346, 0.378, 0.141
385, 958629, 24196, 0.345, 0.123
386, 963226, 25162, 0.367, 0.128
387, 968806, 24902, 0.369, 0.134
388, 972873, 25280, 0.355, 0.126
389, 977034, 26754, 0.270, 0.067
390, 983566, 26187, 0.309, 0.139
391, 989458, 25826, 0.313, 0.083
392, 993241, 26145, 0.367, 0.118
393, 999922, 25208, 0.371, 0.128
394, 1005165, 26760, 0.347, 0.125
395, 1009993, 25806, 0.395, 0.147
396, 1013853, 26018, 0.293, 0.077
397, 1019572, 26176, 0.281, 0.055
398, 1025048, 26470, 0.302, 0.089
399, 1029722, 27452, 0.301, 0.066
400, 1035157, 26442, 0.331, 0.121
401, 1040678, 26249, 0.330, 0.116
402, 1045302, 26427, 0.319, 0.107
403, 1050119, 27394, 0.332, 0.120
404, 1055761, 26374, 0.351, 0.146
405, 1060876, 28195, 0.383, 0.132
406, 1066963, 27478, 0.330, 0.067
407, 1072613, 25986, 0.328, 0.102
408, 1077208, 28238, 0.413, 0.167
409, 1083197, 27361, 0.404, 0.132
410, 1089882, 27007, 0.366, 0.146
411, 1093183, 27256, 0.383, 0.146
412, 1099540, 27415, 0.344, 0.103
413, 1102929, 27506, 0.351, 0.108
414, 1108888, 28692, 0.364, 0.116
415, 1113936, 28856, 0.310, 0.033
416, 1119049, 27368, 0.310, 0.040
417, 1122657, 29446, 0.306, 0.031
418, 1130199, 29331, 0.322, 0.039
419, 1138589, 28202, 0.348, 0.067
420, 1142713, 30244, 0.315, 0.043
421, 1146138, 29015, 0.320, 0.045
422, 1155178, 27773, 0.357, 0.071
423, 1159515, 28657, 0.346, 0.076
424, 1162122, 28334, 0.349, 0.056
425, 1170536, 28357, 0.344, 0.056
426, 1174939, 27885, 0.395, 0.077
427, 1181099, 27691, 0.351, 0.037
428, 1185739, 29081, 0.315, 0.034
429, 1192450, 28488, 0.322, 0.070
430, 1198769, 29392, 0.336, 0.106
431, 1203463, 29883, 0.351, 0.116
432, 1209257, 29562, 0.365, 0.095
433, 1213296, 30984, 0.365, 0.079
434, 1220699, 30838, 0.329, 0.062
435, 1225731, 30350, 0.371, 0.120
436, 1231270, 30471, 0.428, 0.155
437, 1237747, 29437, 0.387, 0.122
438, 1241945, 31101, 0.358, 0.074
439, 1249341, 31183, 0.422, 0.135
440, 1254984, 30532, 0.470, 0.221
441, 1257949, 31804, 0.454, 0.165
442, 1265259, 30429, 0.445, 0.168
443, 1271696, 31442, 0.381, 0.111
444, 1277852, 29826, 0.394, 0.093
445, 1283506, 31242, 0.415, 0.141
446, 1289142, 30679, 0.509, 0.186
447, 1294716, 32315, 0.428, 0.137
448, 1301031, 31436, 0.414, 0.141
449, 1305213, 31647, 0.454, 0.152
450, 1311938, 32013, 0.459, 0.158
451, 1318774, 32079, 0.742, 0.370
452, 1323974, 32502, 1.036, 0.335
453, 1330382, 32403, 1.208, 0.422
454, 1334657, 32056, 1.256, 0.464
455, 1341253, 32279, 1.232, 0.428
456, 1349294, 32036, 1.067, 0.423
457, 1354613, 31766, 0.992, 0.284
458, 1359805, 30146, 0.957, 0.342
459, 1366544, 32129, 1.102, 0.422
460, 1371229, 32450, 0.986, 0.320
461, 1378056, 32632, 0.950, 0.283
462, 1383559, 32827, 1.197, 0.475
463, 1389753, 32987, 1.251, 0.473
464, 1396915, 33805, 1.131, 0.387
465, 1402196, 33417, 0.970, 0.399
466, 1408522, 34223, 1.175, 0.441
467, 1412835, 34578, 1.161, 0.419
468, 1420488, 33938, 1.181, 0.364
469, 1427875, 33095, 1.193, 0.427
470, 1431715, 34334, 1.453, 0.647
471, 1438036, 33947, 0.979, 0.480
472, 1444683, 33661, 0.918, 0.319
473, 1449992, 33332, 0.907, 0.349
474, 1457630, 34510, 1.058, 0.708
475, 1462685, 35774, 0.639, 0.361
476, 1468364, 34617, 0.444, 0.128
477, 1475768, 36511, 0.975, 0.488
478, 1484108, 34893, 0.418, 0.171
479, 1489135, 34773, 0.396, 0.088
480, 1493885, 33974, 0.401, 0.095
481, 1501028, 35495, 0.386, 0.061
482, 1508509, 35636, 0.467, 0.169
483, 1513858, 35977, 0.419, 0.056
484, 1523943, 33924, 0.473, 0.125
485, 1525401, 35410, 0.471, 0.162
486, 1532690, 36265, 0.415, 0.087
487, 1538567, 37130, 0.412, 0.049
488, 1547263, 36587, 0.387, 0.026
489, 1552433, 36348, 0.406, 0.078
490, 1557879, 36321, 0.399, 0.045
491, 1565504, 36444, 0.397, 0.032
492, 1572702, 35379, 0.407, 0.068
493, 1580170, 36316, 0.411, 0.047
494, 1584562, 34588, 0.460, 0.128
495, 1591890, 36929, 0.459, 0.085
496, 1598084, 36783, 0.535, 0.196
497, 1603335, 36519, 0.459, 0.113
498, 1609159, 37460, 0.500, 0.069
499, 1617250, 36420, 0.502, 0.177
500, 1623925, 37278, 0.441, 0.100
