N, nbOp, tExec (ms)
10, 355, 0.001
11, 432, 0.001
12, 508, 0.001
13, 589, 0.001
14, 684, 0.001
15, 790, 0.001
16, 886, 0.001
17, 986, 0.001
18, 1121, 0.001
19, 1248, 0.001
20, 1367, 0.001
21, 1506, 0.001
22, 1649, 0.001
23, 1792, 0.001
24, 1953, 0.001
25, 2122, 0.001
26, 2284, 0.001
27, 2459, 0.001
28, 2622, 0.001
29, 2822, 0.001
30, 3016, 0.001
31, 3215, 0.001
32, 3442, 0.001
33, 3653, 0.001
34, 3831, 0.001
35, 4123, 0.001
36, 4307, 0.001
37, 4546, 0.001
38, 4801, 0.001
39, 5062, 0.001
40, 5325, 0.002
41, 5594, 0.002
42, 5863, 0.002
43, 6125, 0.002
44, 6402, 0.003
45, 6688, 0.002
46, 6977, 0.002
47, 7322, 0.002
48, 7590, 0.002
49, 7921, 0.002
50, 8247, 0.003
51, 8590, 0.003
52, 8938, 0.003
53, 9219, 0.003
54, 9617, 0.003
55, 9990, 0.003
56, 10377, 0.003
57, 10734, 0.003
58, 11063, 0.003
59, 11449, 0.003
60, 11848, 0.003
61, 12256, 0.003
62, 12594, 0.004
63, 13041, 0.004
64, 13453, 0.004
65, 13810, 0.004
66, 14286, 0.004
67, 14712, 0.005
68, 15198, 0.005
69, 15623, 0.004
70, 16056, 0.004
71, 16435, 0.004
72, 16941, 0.005
73, 17476, 0.004
74, 17938, 0.005
75, 18412, 0.009
76, 18885, 0.009
77, 19484, 0.010
78, 19859, 0.006
79, 20436, 0.005
80, 20970, 0.005
81, 21400, 0.005
82, 21934, 0.005
83, 22489, 0.005
84, 23088, 0.006
85, 23681, 0.006
86, 24248, 0.007
87, 24780, 0.010
88, 25352, 0.010
89, 25863, 0.011
90, 26485, 0.006
91, 26909, 0.006
92, 27552, 0.007
93, 28153, 0.009
94, 28790, 0.008
95, 29431, 0.007
96, 29975, 0.007
97, 30769, 0.007
98, 31348, 0.007
99, 31994, 0.007
100, 32718, 0.010
101, 33190, 0.013
102, 33857, 0.010
103, 34520, 0.009
104, 35071, 0.010
105, 36041, 0.008
106, 36608, 0.008
107, 37277, 0.009
108, 38164, 0.011
109, 38707, 0.009
110, 39217, 0.009
111, 39966, 0.009
112, 40827, 0.009
113, 41463, 0.009
114, 42240, 0.014
115, 42936, 0.012
116, 43660, 0.011
117, 44363, 0.010
118, 45264, 0.011
119, 46011, 0.010
120, 46772, 0.012
121, 47725, 0.010
122, 48368, 0.014
123, 49283, 0.010
124, 50030, 0.009
125, 50738, 0.010
126, 51493, 0.009
127, 52580, 0.013
128, 53263, 0.011
129, 54211, 0.011
130, 54815, 0.010
131, 55749, 0.010
132, 56386, 0.010
133, 57348, 0.011
134, 58211, 0.012
135, 59175, 0.011
136, 60112, 0.011
137, 61029, 0.016
138, 61676, 0.011
139, 62644, 0.013
140, 63400, 0.013
141, 64318, 0.016
142, 65422, 0.013
143, 66263, 0.013
144, 67186, 0.012
145, 68153, 0.013
146, 69101, 0.013
147, 70103, 0.013
148, 71037, 0.014
149, 72149, 0.017
150, 72716, 0.014
151, 73932, 0.015
152, 74786, 0.014
153, 75910, 0.015
154, 76843, 0.016
155, 77814, 0.020
156, 78791, 0.017
157, 79980, 0.016
158, 80974, 0.015
159, 81639, 0.019
160, 82999, 0.015
161, 83864, 0.016
162, 84914, 0.017
163, 85896, 0.017
164, 87253, 0.023
165, 87881, 0.017
166, 89326, 0.019
167, 90260, 0.017
168, 91421, 0.019
169, 92546, 0.020
170, 93567, 0.017
171, 94546, 0.019
172, 95713, 0.020
173, 96911, 0.019
174, 98102, 0.018
175, 99051, 0.018
176, 100012, 0.019
177, 101494, 0.024
178, 102400, 0.023
179, 103786, 0.022
180, 104781, 0.021
181, 106221, 0.021
182, 107125, 0.020
183, 108301, 0.019
184, 109710, 0.025
185, 110760, 0.021
186, 111855, 0.023
187, 113294, 0.026
188, 114450, 0.025
189, 115277, 0.023
190, 116967, 0.021
191, 118143, 0.023
192, 119323, 0.022
193, 120483, 0.021
194, 121605, 0.022
195, 122744, 0.030
196, 124142, 0.022
197, 125921, 0.027
198, 126880, 0.029
199, 128241, 0.026
200, 129188, 0.028
201, 130805, 0.031
202, 132070, 0.028
203, 133257, 0.030
204, 134547, 0.025
205, 136182, 0.024
206, 136711, 0.027
207, 138894, 0.029
208, 139954, 0.029
209, 141300, 0.026
210, 142953, 0.027
211, 143891, 0.025
212, 145296, 0.025
213, 146926, 0.025
214, 148159, 0.031
215, 149381, 0.026
216, 151112, 0.027
217, 152483, 0.027
218, 153169, 0.028
219, 155073, 0.033
220, 156311, 0.034
221, 158080, 0.034
222, 159544, 0.031
223, 160217, 0.027
224, 162559, 0.029
225, 163617, 0.028
226, 165026, 0.037
227, 166380, 0.033
228, 168085, 0.037
229, 169272, 0.040
230, 171195, 0.033
231, 172447, 0.041
232, 173898, 0.047
233, 175206, 0.046
234, 177300, 0.036
235, 178248, 0.033
236, 180065, 0.032
237, 181556, 0.033
238, 183075, 0.037
239, 184432, 0.033
240, 186262, 0.033
241, 187682, 0.044
242, 189594, 0.037
243, 190246, 0.036
244, 192188, 0.035
245, 193927, 0.046
246, 195333, 0.037
247, 197313, 0.038
248, 198409, 0.037
249, 200292, 0.038
250, 201863, 0.071
251, 203416, 0.085
252, 205081, 0.094
253, 206424, 0.102
254, 208336, 0.089
255, 209979, 0.120
256, 211093, 0.102
257, 212919, 0.085
258, 214964, 0.080
259, 216113, 0.096
260, 217605, 0.093
261, 219772, 0.108
262, 221674, 0.106
263, 223486, 0.091
264, 225508, 0.040
265, 227254, 0.039
266, 228307, 0.042
267, 230116, 0.042
268, 231840, 0.042
269, 233649, 0.046
270, 235644, 0.041
271, 237512, 0.043
272, 239154, 0.044
273, 240261, 0.041
274, 242395, 0.044
275, 244267, 0.042
276, 246516, 0.042
277, 247658, 0.045
278, 248745, 0.043
279, 251714, 0.043
280, 253239, 0.043
281, 254341, 0.055
282, 256131, 0.048
283, 257663, 0.050
284, 260353, 0.055
285, 262258, 0.053
286, 264342, 0.055
287, 266021, 0.052
288, 268327, 0.049
289, 269514, 0.056
290, 270943, 0.046
291, 272607, 0.053
292, 275097, 0.054
293, 276720, 0.047
294, 278988, 0.052
295, 280353, 0.056
296, 282767, 0.050
297, 284399, 0.049
298, 285799, 0.050
299, 287861, 0.056
300, 290950, 0.054
301, 291848, 0.054
302, 294474, 0.058
303, 296402, 0.061
304, 297624, 0.071
305, 300532, 0.087
306, 302403, 0.073
307, 303463, 0.068
308, 306060, 0.058
309, 308170, 0.063
310, 310679, 0.062
311, 311964, 0.064
312, 313452, 0.071
313, 315867, 0.059
314, 316913, 0.071
315, 319724, 0.077
316, 322033, 0.062
317, 323772, 0.069
318, 326531, 0.071
319, 327906, 0.071
320, 330304, 0.068
321, 331881, 0.066
322, 334558, 0.064
323, 337019, 0.093
324, 338884, 0.064
325, 340598, 0.081
326, 342817, 0.081
327, 344986, 0.072
328, 347179, 0.078
329, 349069, 0.069
330, 351223, 0.076
331, 353372, 0.080
332, 355408, 0.063
333, 357415, 0.069
334, 359776, 0.071
335, 361919, 0.085
336, 364962, 0.072
337, 366369, 0.067
338, 368162, 0.080
339, 369442, 0.083
340, 373351, 0.084
341, 374515, 0.077
342, 376926, 0.085
343, 379369, 0.079
344, 381413, 0.079
345, 384280, 0.096
346, 385494, 0.082
347, 388121, 0.084
348, 390096, 0.087
349, 392724, 0.084
350, 394774, 0.073
351, 396662, 0.075
352, 399933, 0.079
353, 402040, 0.081
354, 403832, 0.082
355, 406180, 0.076
356, 407680, 0.080
357, 410594, 0.081
358, 413296, 0.086
359, 415631, 0.087
360, 418153, 0.076
361, 419072, 0.079
362, 422602, 0.087
363, 425557, 0.083
364, 427349, 0.085
365, 429556, 0.076
366, 433069, 0.078
367, 434535, 0.084
368, 436804, 0.085
369, 439093, 0.086
370, 440567, 0.084
371, 443238, 0.080
372, 446630, 0.084
373, 448900, 0.080
374, 450081, 0.084
375, 452339, 0.083
376, 455566, 0.080
377, 457989, 0.080
378, 460043, 0.083
379, 462373, 0.085
380, 465390, 0.081
381, 468803, 0.081
382, 469193, 0.089
383, 472874, 0.097
384, 474792, 0.087
385, 477570, 0.091
386, 481044, 0.086
387, 482856, 0.085
388, 485456, 0.093
389, 487600, 0.086
390, 489801, 0.089
391, 493019, 0.089
392, 495487, 0.090
393, 497772, 0.096
394, 500184, 0.095
395, 502644, 0.091
396, 505189, 0.091
397, 507976, 0.093
398, 511496, 0.087
399, 512536, 0.103
400, 515496, 0.094
401, 518113, 0.114
402, 521369, 0.089
403, 523897, 0.096
404, 524834, 0.090
405, 528912, 0.094
406, 531210, 0.101
407, 533588, 0.098
408, 536498, 0.100
409, 538264, 0.102
410, 541044, 0.103
411, 544424, 0.099
412, 547646, 0.095
413, 549024, 0.107
414, 552244, 0.095
415, 553776, 0.102
416, 557079, 0.102
417, 561127, 0.102
418, 562504, 0.104
419, 565314, 0.102
420, 567785, 0.097
421, 570475, 0.100
422, 574251, 0.109
423, 575585, 0.126
424, 579163, 0.135
425, 581679, 0.121
426, 583877, 0.117
427, 586280, 0.125
428, 589979, 0.114
429, 592938, 0.153
430, 595297, 0.311
431, 598738, 0.333
432, 600691, 0.236
433, 604125, 0.169
434, 607247, 0.156
435, 608962, 0.161
436, 612466, 0.110
437, 615778, 0.122
438, 617865, 0.115
439, 619863, 0.117
440, 623741, 0.117
441, 626763, 0.114
442, 629294, 0.116
443, 631203, 0.135
444, 635758, 0.127
445, 637575, 0.127
446, 639916, 0.149
447, 643729, 0.128
448, 645805, 0.132
449, 646953, 0.112
450, 652785, 0.117
451, 655951, 0.129
452, 657279, 0.114
453, 660287, 0.113
454, 663431, 0.132
455, 665831, 0.130
456, 669657, 0.148
457, 672791, 0.128
458, 675948, 0.139
459, 678411, 0.135
460, 682419, 0.140
461, 684617, 0.157
462, 687771, 0.156
463, 689483, 0.150
464, 694293, 0.147
465, 696714, 0.134
466, 700896, 0.133
467, 702254, 0.140
468, 705481, 0.133
469, 708927, 0.131
470, 711567, 0.136
471, 713868, 0.130
472, 719060, 0.138
473, 722006, 0.144
474, 722120, 0.135
475, 726655, 0.133
476, 730448, 0.148
477, 732732, 0.133
478, 736341, 0.141
479, 738162, 0.134
480, 741512, 0.149
481, 744719, 0.136
482, 748828, 0.127
483, 750748, 0.130
484, 754764, 0.136
485, 757068, 0.136
486, 761419, 0.133
487, 763518, 0.136
488, 766192, 0.149
489, 771278, 0.148
490, 773368, 0.158
491, 775966, 0.138
492, 778559, 0.138
493, 783116, 0.151
494, 785032, 0.150
495, 790206, 0.144
496, 791285, 0.144
497, 795238, 0.138
498, 799195, 0.176
499, 802370, 0.190
