N, nbOp, u_nbOP, tExec (ms), u_tExec (ms)
10, 356, 71, 0.001, 0.001
11, 431, 82, 0.001, 0.001
12, 511, 92, 0.001, 0.000
13, 585, 106, 0.001, 0.001
14, 684, 120, 0.001, 0.001
15, 778, 131, 0.001, 0.000
16, 891, 144, 0.001, 0.001
17, 994, 165, 0.001, 0.001
18, 1110, 173, 0.001, 0.003
19, 1235, 184, 0.001, 0.003
20, 1357, 198, 0.001, 0.001
21, 1504, 212, 0.001, 0.000
22, 1636, 229, 0.001, 0.000
23, 1800, 241, 0.001, 0.001
24, 1946, 260, 0.001, 0.000
25, 2114, 268, 0.001, 0.000
26, 2281, 286, 0.001, 0.000
27, 2442, 297, 0.001, 0.000
28, 2640, 326, 0.001, 0.001
29, 2851, 342, 0.001, 0.000
30, 3018, 368, 0.001, 0.000
31, 3212, 382, 0.001, 0.001
32, 3419, 407, 0.001, 0.001
33, 3657, 417, 0.001, 0.001
34, 3850, 462, 0.001, 0.000
35, 4077, 468, 0.001, 0.001
36, 4306, 486, 0.001, 0.001
37, 4584, 493, 0.002, 0.001
38, 4803, 488, 0.001, 0.000
39, 5062, 563, 0.002, 0.000
40, 5275, 558, 0.002, 0.001
41, 5548, 570, 0.002, 0.003
42, 5844, 592, 0.002, 0.001
43, 6122, 624, 0.002, 0.000
44, 6442, 665, 0.002, 0.002
45, 6710, 675, 0.003, 0.001
46, 7006, 685, 0.003, 0.001
47, 7317, 716, 0.002, 0.001
48, 7634, 758, 0.002, 0.002
49, 7926, 776, 0.002, 0.001
50, 8245, 766, 0.003, 0.002
51, 8595, 800, 0.002, 0.001
52, 8905, 828, 0.003, 0.002
53, 9240, 824, 0.002, 0.001
54, 9603, 880, 0.003, 0.010
55, 9966, 885, 0.003, 0.001
56, 10282, 913, 0.003, 0.003
57, 10723, 936, 0.004, 0.002
58, 11063, 998, 0.005, 0.002
59, 11418, 1025, 0.004, 0.005
60, 11848, 1055, 0.006, 0.002
61, 12256, 1081, 0.004, 0.001
62, 12648, 1078, 0.003, 0.001
63, 13030, 1123, 0.004, 0.002
64, 13464, 1106, 0.005, 0.002
65, 13807, 1154, 0.005, 0.002
66, 14295, 1156, 0.004, 0.001
67, 14751, 1231, 0.004, 0.001
68, 15160, 1252, 0.004, 0.002
69, 15545, 1253, 0.005, 0.003
70, 15939, 1269, 0.005, 0.002
71, 16458, 1262, 0.005, 0.002
72, 16995, 1355, 0.005, 0.002
73, 17398, 1363, 0.005, 0.002
74, 17972, 1402, 0.006, 0.007
75, 18346, 1390, 0.007, 0.012
76, 18934, 1456, 0.006, 0.004
77, 19414, 1511, 0.005, 0.001
78, 19779, 1531, 0.005, 0.001
79, 20431, 1537, 0.006, 0.006
80, 20942, 1690, 0.008, 0.002
81, 21402, 1644, 0.006, 0.001
82, 22046, 1664, 0.010, 0.003
83, 22552, 1702, 0.012, 0.006
84, 23103, 1642, 0.011, 0.007
85, 23620, 1689, 0.011, 0.004
86, 24125, 1781, 0.011, 0.021
87, 24623, 1863, 0.006, 0.001
88, 25291, 1803, 0.006, 0.001
89, 25862, 1879, 0.009, 0.008
90, 26477, 1884, 0.014, 0.068
91, 26960, 1938, 0.010, 0.004
92, 27668, 1931, 0.007, 0.002
93, 28148, 2015, 0.007, 0.002
94, 28898, 1987, 0.007, 0.002
95, 29440, 2005, 0.010, 0.004
96, 29936, 2018, 0.010, 0.004
97, 30580, 2122, 0.008, 0.007
98, 31271, 2216, 0.013, 0.008
99, 31972, 2127, 0.015, 0.006
100, 32555, 2189, 0.009, 0.006
101, 33250, 2163, 0.017, 0.024
102, 33865, 2177, 0.010, 0.005
103, 34563, 2294, 0.016, 0.014
104, 35231, 2344, 0.012, 0.004
105, 35900, 2308, 0.010, 0.003
106, 36545, 2495, 0.009, 0.004
107, 37276, 2402, 0.013, 0.005
108, 37984, 2486, 0.012, 0.008
109, 38668, 2556, 0.016, 0.003
110, 39296, 2496, 0.018, 0.004
111, 40079, 2576, 0.012, 0.005
