N, nbOp, tExec (ms)
10, 429, 0.001
11, 525, 0.001
12, 625, 0.002
13, 732, 0.002
14, 854, 0.001
15, 989, 0.001
16, 1119, 0.001
17, 1257, 0.001
18, 1426, 0.001
19, 1593, 0.001
20, 1758, 0.001
21, 1941, 0.001
22, 2132, 0.001
23, 2327, 0.002
24, 2540, 0.002
25, 2763, 0.002
26, 2985, 0.002
27, 3220, 0.002
28, 3450, 0.002
29, 3713, 0.002
30, 3975, 0.002
31, 4245, 0.002
32, 4541, 0.003
33, 4828, 0.002
34, 5094, 0.003
35, 5451, 0.003
36, 5730, 0.003
37, 6055, 0.003
38, 6395, 0.003
39, 6746, 0.003
40, 7100, 0.003
41, 7464, 0.004
42, 7832, 0.004
43, 8199, 0.004
44, 8580, 0.007
45, 8974, 0.004
46, 9373, 0.005
47, 9818, 0.005
48, 10210, 0.005
49, 10653, 0.006
50, 11097, 0.006
51, 11558, 0.006
52, 12027, 0.006
53, 12447, 0.006
54, 12962, 0.007
55, 13462, 0.007
56, 13977, 0.008
57, 14472, 0.007
58, 14950, 0.007
59, 15476, 0.007
60, 16016, 0.007
61, 16566, 0.008
62, 17067, 0.008
63, 17656, 0.008
64, 18222, 0.008
65, 18750, 0.008
66, 19372, 0.009
67, 19961, 0.010
68, 20600, 0.011
69, 21195, 0.009
70, 21801, 0.009
71, 22370, 0.009
72, 23040, 0.010
73, 23737, 0.010
74, 24380, 0.011
75, 25038, 0.020
76, 25699, 0.020
77, 26461, 0.023
78, 27054, 0.014
79, 27807, 0.011
80, 28530, 0.012
81, 29178, 0.011
82, 29910, 0.011
83, 30661, 0.012
84, 31451, 0.012
85, 32240, 0.014
86, 33013, 0.016
87, 33763, 0.022
88, 34548, 0.022
89, 35290, 0.024
90, 36121, 0.014
91, 36805, 0.014
92, 37660, 0.017
93, 38487, 0.020
94, 39346, 0.017
95, 40212, 0.016
96, 41008, 0.017
97, 41999, 0.016
98, 42829, 0.016
99, 43715, 0.016
100, 44665, 0.021
101, 45424, 0.028
102, 46338, 0.022
103, 47254, 0.020
104, 48086, 0.020
105, 49245, 0.018
106, 50098, 0.018
107, 51034, 0.019
108, 52141, 0.023
109, 52987, 0.019
110, 53812, 0.019
111, 54826, 0.020
112, 55929, 0.020
113, 56863, 0.020
114, 57909, 0.030
115, 58897, 0.026
116, 59911, 0.023
117, 60913, 0.021
118, 62071, 0.023
119, 63114, 0.022
120, 64172, 0.026
121, 65383, 0.026
122, 66359, 0.038
123, 67547, 0.026
124, 68610, 0.025
125, 69648, 0.026
126, 70726, 0.025
127, 72063, 0.033
128, 73093, 0.030
129, 74331, 0.030
130, 75308, 0.027
131, 76544, 0.027
132, 77554, 0.028
133, 78819, 0.030
134, 80012, 0.033
135, 81287, 0.029
136, 82544, 0.030
137, 83790, 0.042
138, 84833, 0.030
139, 86126, 0.035
140, 87261, 0.034
141, 88524, 0.040
142, 89934, 0.035
143, 91145, 0.032
144, 92424, 0.032
145, 93741, 0.033
146, 95047, 0.033
147, 96399, 0.033
148, 97702, 0.036
149, 99147, 0.045
150, 100175, 0.036
151, 101708, 0.040
152, 102966, 0.037
153, 104435, 0.038
154, 105762, 0.041
155, 107122, 0.052
156, 108490, 0.045
157, 110025, 0.042
158, 111415, 0.038
159, 112555, 0.049
160, 114234, 0.040
161, 115536, 0.042
162, 116985, 0.043
163, 118385, 0.044
164, 120078, 0.058
165, 121214, 0.044
166, 122982, 0.048
167, 124361, 0.043
168, 125919, 0.048
169, 127453, 0.051
170, 128912, 0.043
171, 130341, 0.049
172, 131920, 0.050
173, 133527, 0.048
174, 135132, 0.046
175, 136554, 0.046
176, 137991, 0.047
177, 139832, 0.060
178, 141234, 0.059
179, 143008, 0.055
180, 144487, 0.053
181, 146311, 0.054
182, 147727, 0.052
183, 149357, 0.049
184, 151170, 0.063
185, 152710, 0.054
186, 154289, 0.058
187, 156137, 0.067
188, 157771, 0.063
189, 159156, 0.058
190, 161209, 0.052
191, 162871, 0.058
192, 164539, 0.054
193, 166197, 0.053
194, 167828, 0.056
195, 169477, 0.076
196, 171329, 0.056
197, 173479, 0.068
198, 175001, 0.066
199, 176837, 0.066
200, 178358, 0.071
201, 180399, 0.077
202, 182173, 0.071
203, 183891, 0.076
204, 185692, 0.063
205, 187762, 0.060
206, 188986, 0.068
207, 191487, 0.072
208, 193127, 0.071
209, 194991, 0.064
210, 197095, 0.068
211, 198654, 0.064
212, 200576, 0.063
213, 202674, 0.063
214, 204472, 0.076
215, 206265, 0.065
216, 208453, 0.066
217, 210368, 0.068
218, 211760, 0.070
219, 214094, 0.082
220, 215919, 0.084
