N, nbOp, u_nbOP, tExec (ms), u_tExec (ms)
10, 430, 56, 0.001, 0.001
11, 524, 64, 0.001, 0.000
12, 627, 73, 0.001, 0.000
13, 729, 82, 0.001, 0.001
14, 854, 94, 0.001, 0.001
15, 980, 102, 0.001, 0.001
16, 1124, 112, 0.001, 0.001
17, 1264, 128, 0.001, 0.001
18, 1418, 134, 0.002, 0.000
19, 1583, 143, 0.002, 0.001
20, 1749, 154, 0.002, 0.001
21, 1940, 164, 0.001, 0.001
22, 2122, 177, 0.001, 0.000
23, 2333, 187, 0.001, 0.000
24, 2534, 202, 0.002, 0.001
25, 2757, 208, 0.002, 0.003
26, 2982, 221, 0.002, 0.000
27, 3207, 229, 0.002, 0.001
28, 3465, 252, 0.002, 0.000
29, 3736, 264, 0.002, 0.000
30, 3977, 284, 0.002, 0.000
31, 4243, 295, 0.002, 0.000
32, 4523, 314, 0.003, 0.001
33, 4831, 322, 0.003, 0.000
34, 5109, 356, 0.003, 0.003
35, 5416, 361, 0.003, 0.001
36, 5729, 375, 0.003, 0.001
37, 6084, 380, 0.003, 0.001
38, 6397, 376, 0.003, 0.001
39, 6745, 434, 0.004, 0.001
40, 7062, 430, 0.004, 0.003
41, 7429, 439, 0.005, 0.002
42, 7818, 456, 0.004, 0.001
43, 8196, 481, 0.004, 0.001
44, 8612, 513, 0.004, 0.001
45, 8990, 520, 0.006, 0.002
46, 9395, 528, 0.006, 0.002
47, 9815, 552, 0.005, 0.002
48, 10244, 584, 0.005, 0.003
49, 10658, 598, 0.005, 0.002
50, 11096, 590, 0.006, 0.002
51, 11561, 617, 0.005, 0.005
52, 12000, 638, 0.006, 0.002
53, 12464, 634, 0.006, 0.005
54, 12952, 678, 0.006, 0.002
55, 13444, 682, 0.006, 0.003
56, 13904, 703, 0.008, 0.003
57, 14464, 721, 0.009, 0.004
58, 14950, 768, 0.012, 0.008
59, 15453, 789, 0.009, 0.005
60, 16016, 813, 0.015, 0.007
61, 16567, 832, 0.009, 0.003
62, 17109, 830, 0.008, 0.007
63, 17648, 865, 0.009, 0.006
64, 18231, 852, 0.013, 0.016
65, 18747, 888, 0.010, 0.005
66, 19380, 890, 0.008, 0.002
67, 19991, 947, 0.009, 0.002
68, 20571, 964, 0.009, 0.002
69, 21136, 965, 0.010, 0.003
70, 21711, 977, 0.012, 0.006
71, 22388, 971, 0.012, 0.007
72, 23082, 1043, 0.010, 0.002
73, 23677, 1049, 0.011, 0.005
74, 24407, 1079, 0.013, 0.011
75, 24988, 1070, 0.013, 0.003
76, 25737, 1121, 0.012, 0.003
77, 26407, 1163, 0.011, 0.002
78, 26993, 1178, 0.011, 0.001
79, 27803, 1183, 0.013, 0.006
80, 28509, 1301, 0.017, 0.004
81, 29180, 1265, 0.012, 0.004
82, 29996, 1281, 0.023, 0.009
83, 30710, 1310, 0.026, 0.020
84, 31463, 1264, 0.025, 0.007
85, 32193, 1300, 0.023, 0.005
86, 32918, 1371, 0.023, 0.014
87, 33643, 1434, 0.013, 0.001
88, 34502, 1388, 0.014, 0.011
89, 35289, 1446, 0.019, 0.007
90, 36115, 1450, 0.025, 0.011
91, 36844, 1492, 0.022, 0.012
92, 37749, 1486, 0.016, 0.007
93, 38484, 1551, 0.015, 0.014
94, 39429, 1529, 0.015, 0.011
95, 40219, 1543, 0.023, 0.008
96, 40977, 1553, 0.022, 0.010
97, 41853, 1633, 0.017, 0.010
98, 42770, 1705, 0.027, 0.011
99, 43698, 1637, 0.032, 0.006
100, 44539, 1684, 0.021, 0.021
101, 45471, 1664, 0.035, 0.019
102, 46345, 1675, 0.023, 0.011
103, 47287, 1765, 0.032, 0.008
104, 48209, 1804, 0.026, 0.014
105, 49137, 1776, 0.022, 0.009
106, 50050, 1920, 0.019, 0.022
107, 51033, 1848, 0.028, 0.008
108, 52003, 1913, 0.027, 0.019
109, 52958, 1967, 0.035, 0.016
110, 53873, 1921, 0.040, 0.025
111, 54913, 1982, 0.026, 0.014
112, 55892, 1983, 0.023, 0.010
113, 56974, 1847, 0.022, 0.008
114, 57928, 2047, 0.039, 0.012
115, 59043, 2142, 0.022, 0.009
116, 59964, 2136, 0.023, 0.009
117, 60929, 2078, 0.026, 0.016
118, 62143, 2178, 0.028, 0.010
119, 63112, 2269, 0.028, 0.059
120, 64099, 2197, 0.026, 0.005
121, 65264, 2336, 0.026, 0.004
122, 66336, 2301, 0.029, 0.004
123, 67403, 2333, 0.029, 0.007
124, 68552, 2208, 0.034, 0.014
125, 69575, 2419, 0.031, 0.015
126, 70791, 2353, 0.028, 0.007
127, 71861, 2416, 0.052, 0.015
128, 73065, 2433, 0.058, 0.016
129, 74213, 2602, 0.054, 0.013
130, 75377, 2644, 0.045, 0.013
131, 76530, 2488, 0.041, 0.014
132, 77645, 2575, 0.050, 0.020
133, 78773, 2612, 0.057, 0.014
134, 80102, 2741, 0.033, 0.019
135, 81382, 2565, 0.037, 0.024
136, 82454, 2655, 0.038, 0.019
137, 83601, 2635, 0.031, 0.005
138, 84991, 2752, 0.044, 0.020
139, 86035, 2657, 0.064, 0.026
140, 87487, 2916, 0.040, 0.018
141, 88665, 2814, 0.050, 0.017
142, 89886, 2864, 0.052, 0.024
143, 91149, 2914, 0.057, 0.023
144, 92415, 2934, 0.064, 0.020
145, 93673, 2949, 0.038, 0.014
146, 95070, 2893, 0.046, 0.015
147, 96311, 3059, 0.044, 0.020
148, 97762, 3003, 0.055, 0.029
149, 99082, 2916, 0.053, 0.024
150, 100287, 3109, 0.047, 0.029
151, 101647, 3204, 0.042, 0.016
152, 103125, 3087, 0.043, 0.020
153, 104395, 3204, 0.072, 0.019
154, 105782, 3273, 0.060, 0.019
155, 107181, 3332, 0.044, 0.031
156, 108699, 3319, 0.053, 0.028
157, 110079, 3239, 0.053, 0.022
158, 111400, 3298, 0.060, 0.024
159, 112760, 3343, 0.049, 0.016
160, 113973, 3344, 0.056, 0.022
161, 115732, 3440, 0.058, 0.021
162, 116690, 3496, 0.042, 0.017
163, 118697, 3538, 0.048, 0.017
164, 120148, 3605, 0.053, 0.017
165, 121475, 3530, 0.074, 0.020
