N, nbOp, tExec (ms)
10, 574, 0,004
11, 704, 0,003
12, 847, 0,001
13, 1014, 0,001
14, 1180, 0,001
15, 1360, 0,001
16, 1561, 0,001
17, 1764, 0,001
18, 1971, 0,001
19, 2216, 0,001
20, 2465, 0,001
21, 2723, 0,001
22, 3000, 0,002
23, 3297, 0,002
24, 3598, 0,002
25, 3906, 0,002
26, 4266, 0,002
27, 4606, 0,002
28, 4965, 0,002
29, 5341, 0,003
30, 5693, 0,003
31, 6096, 0,004
32, 6521, 0,003
33, 6971, 0,003
34, 7384, 0,003
35, 7825, 0,003
36, 8306, 0,004
37, 8787, 0,004
38, 9282, 0,004
39, 9800, 0,004
40, 10357, 0,005
41, 10883, 0,005
42, 11400, 0,005
43, 11975, 0,005
44, 12602, 0,005
45, 13099, 0,005
46, 13694, 0,006
47, 14386, 0,006
48, 14971, 0,006
49, 15640, 0,007
50, 16374, 0,007
51, 17048, 0,007
52, 17683, 0,007
53, 18369, 0,007
54, 19116, 0,008
55, 19885, 0,008
56, 20621, 0,008
57, 21330, 0,008
58, 22113, 0,009
59, 22855, 0,009
60, 23651, 0,009
61, 24507, 0,009
62, 25202, 0,009
63, 26157, 0,009
64, 26999, 0,009
65, 28016, 0,010
66, 28867, 0,011
67, 29720, 0,012
68, 30521, 0,011
69, 31520, 0,011
70, 32490, 0,012
71, 33469, 0,012
72, 34536, 0,013
73, 35339, 0,013
74, 36440, 0,014
75, 37427, 0,015
76, 38346, 0,014
77, 39451, 0,014
78, 40291, 0,015
79, 41490, 0,015
80, 42681, 0,016
81, 43863, 0,017
82, 44817, 0,016
83, 46078, 0,017
84, 47175, 0,017
85, 48171, 0,017
86, 49456, 0,017
87, 50606, 0,020
88, 51784, 0,018
89, 53128, 0,020
90, 54069, 0,020
91, 55468, 0,020
92, 56757, 0,021
93, 57900, 0,021
94, 59412, 0,022
95, 60520, 0,022
96, 61756, 0,025
97, 63167, 0,023
98, 64499, 0,023
99, 65834, 0,024
